artist,text
kaczmarski,"Kaśka z Piotrkiem są w Kanadzie, Bo tam mają perspektywy, Staszek w Stanach sobie radzi, Paweł do Paryża przywykł, Gośka z Przemkiem ledwie przędą, W maju będzie trzeci bachor, Próżno skarżą się urzędom, Że też chcieli by na zachód,"
kaczmarski,"Musi być jakieś Piekła Piękno, Rumiana jędrność rajskich jabłek, Wobec którego dusze miękną I same giąć się chcą przed Diabłem."
krawczyk,Pełno jest wszędzie panien do wzięcia Tyle ich ciągle przemyka się A że świat bez nich wart mało wiele Oto więc zdrowy pogląd na świat:
kaczmarski,"Widząc, że się źle dzieje – Naród traci nadzieję, Nie chce orać, siać ni zbierać, śni o kuciu kos – Raczył przyjąć Pan Chama W towarzystwie Plebana By wysłuchać, co poradzą jak odmienić los."
krawczyk,słońce kapie złotym miodem na Madonnę tej przystani są tu dzieci o poranku bohaterzy w wodorostach wszyscy dążą do miłości i podążać będą zawsze gdy Zuzanna trzyma lustro
kaczmarski,"Bo sprawiedliwie wszystkim służyć chce: Ojczyźnie - i skrzywdzonym. Ale ojczyzna - jedna przecież jest, Skrzywdzonych zaś - miliony."
krawczyk,Nie wierz nigdy kobiecie Nie ustępuj na krok Bo przepadłeś z kretesem Nim zrozumiesz swój błąd
kaczmarski,"Przywykły pokolenia, Że tak się los nam splata: Za miedzą Dzień Stworzenia, A u nas – Koniec Świata…"
kaczmarski,Bez ruchu każą tkwić nam tu Jak długo - nie pamiętam już Brak nam powietrza słów i snu W gardłach - zaschniętej śliny kurz Jak okiem sięgnąć w strony dwie Okopów linie ciągną się A my czekamy - mija czas I do ataków wciąż nie posyłają nas!
krawczyk,Pół wieku człowieku  To dużo i mało Pół wieku człowieku  Czas jakby oszalał I pędzi przed siebie Aż trudno mu w biegu dotrzymać jest kroku A do mety daleko Pół wieku człowieku  To dużo i mało A przecież nam jeszcze coś chyba zostało? Bo jedno pytanie powraca z uporem Czy jesteś na górze czy jesteś na dole?
kaczmarski,"Odstąpię wierszy doskonałość Za jedno ocalone ciało,"
krawczyk,"Jeszcze zakochani Jeszcze tacy sami My, gdzie spojrzeć - my W tłumie na chodnikach W żółtych słonecznikach My, gdzie spojrzeć - my"
krawczyk,"Bo coś musi być, że świat zwariował Coś w sobie ma melodia ta Prosty rytm, niemądre słowa A bierze na sto dwa"
krawczyk,"Lubię budzić się trochę wcześniej, ty wędrujesz pogrążona jeszcze we śnie po morzach, przestworzach, bezdrożach snu jesteś wszędzie, tylko nie tu. Jesteś wszędzie, tylko nie przy mnie a ja cicho powtarzam twe imię- Natalia."
kaczmarski,Przewodnik zagubionej karawany Unosi się w strzemionach Słońce świeci Kolejne tworzy nam fatamorgany Oazy obiecuje Naszym dzieciom
krawczyk,When you hold my hand I understand the magic that you do
kaczmarski,"Grajek, co drewniany flet miał Zbiegł z zamku, gdzie koncert swój dał. Bez zaszczytów, herbów i szat, Bez sławy powrócił w swój świat. Do swej chaty, do rodziny, Do swych przodków, do dziewczyny, Nikt nie powie o nim źle, Nikt nie powie, że sprzedał się. Wy osądźcie, bo to nie żart, Ile dzielny ten grajek był wart."
krawczyk,Wracam tu na Święta No i drogę dobrze znam I bardzo chciałbym tam wrócić choćby dziś Bo chcę tam być Chcę tam być
krawczyk,"Na nich spójrz - oni zatracili się Dzisiaj już nie czują nic, Tylko gonią za karierą. Powiem Ci, w zyciu nic nie liczy się, Kiedy jesteś obok niej I spełniają się marzenia."
kaczmarski,"Zanim na złodzieja z kłami Skoczysz w swej najkrwawszej z pian, Czekaj, aż ci ktoś oznajmi, Kto tu złodziej, kto twój pan."
kaczmarski,"Umrę, patrząc z tęsknotą na niedostrzegalne szczyty Siedmiu wzgórz, które człowiek zamienił w Wieczne Miasto, Skąd przez kraje podbite, z rąk do rąk - niepiśmiennych Iść będzie i nie dojdzie pismo Augusta z łaską."
kaczmarski,"Swą krew ocaloną oddają za darmo Każdemu, kto zechce połączyć ich z armią."
krawczyk,"Europo, witaj nam, z nami siądź, zdejmij płaszcz Europo, witaj nam, i się daj lubić, daj"
kaczmarski,"Balladę swą posyłam ci, Za chleba kęs, który dałaś mi Dziewko z oberży w miasteczku P. Gdy głód tępy znów ścinał mnie... Ty, która chleb mi dałaś, gdy Panie, panowie, mieszczanie źli Psów odkarmionych swych głaszcząc łby Przed nosem zamknęli mi drzwi! To prawie nic, chleba kęs, dwa, Lecz oszukałem nimi swój głód Zniknął pustego brzucha chłód Wspomnienie to wciąż we mnie trwa!"
kaczmarski,"Wtem nade mną staje ktoś, Ma łagodny miękki głos, - Pobłogosław - mówi - los Będzie ci dobrze! Tu ci dadzą jeść i pić, Dadzą ci dostatnio żyć, Strój na tobie będzie lśnić, Tu płacą szczodrze."
krawczyk,"Biegnie uparcie chwila za chwilą I bezpowrotnie umyka czas Podaj mi dłonie, nim już za moment Tłum na ulicach rozdzieli nas"
